Category,Average Estimated payout
Receive-Only Earth Station (ES) Single-feed Antenna," $8,948.00 "
Receive-Only ES Multi-feed Antenna," $16,997.00 "
Small Multi-beam (2-4 beams) ES Antenna," $42,062.00 "
Large Multi-beam (5+ beams) ES Antenna," $51,840.00 "
Gateway ES Antenna," $20,854.00 "
Temporary Fixed ES Antenna (e.g. News trucks)," $3,060.00 "
MVPD Per Site Technology Upgrade Installation Lump Sum Paymen," $47,598.00 "
